"id","zip_code","municipality","county","lat","lng","locality","locations"
35595,11526,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004}"
35596,11527,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,400021,500004,600106,600021}"
35597,11528,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004,600021}"
35598,11529,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004,600021}"
35599,11530,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004,600021}"
35600,11531,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004,600021}"
35601,11532,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004,600021}"
35602,11533,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004,600021}"
35603,11534,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004,600021}"
35604,11535,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004,600021}"
35605,11536,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004,600021}"
35606,11537,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004,600021}"
35607,11538,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004,600021}"
35608,11539,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004,600021}"
35609,11540,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004,600021}"
35610,11541,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004,600064,600065,600021}"
35611,11542,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,400021,400014,500004,600021,600064,600065}"
35612,11543,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004,600065,600021}"
35613,11544,"Stockholm","Stockholm",,,"STOCKHOLM","{300000,440016,500004,600064,600065}"
35614,11545,"Stockholm","Stockholm",,,"STOCKHOLM","{300000,440016,500004,600064,600065}"
