"id","created","modified","rating","text","venueid","venuename","agentid","agentname","invite_id"
313988,"2018-02-26 12:21:22.207","2018-02-26 12:21:33.019",4,"Proffsig och satte mig som köpare först, Ann-Sofia såg verkligen till att jag skulle bli nöjd! ",1800538,"Erik Olsson Fastighetsförmedling Malmö",4115,"Ann-Sofia Jonasson",1712197
314002,"2018-02-26 12:43:30.056","2018-02-26 12:43:32.918",3,"Mycket trevlig och tillgänglig mäklare, kändes dock aningen ny i sin roll, ev lite oerfaren. Men det kan ju vara mitt önskemål som köpare att jag ville hon skulle pressa säljaren mer. (Säljaren var ganska orimlig och svår att ha att göra med.)
Senare har det även  visat sig att det är stora problem med en granne i trappan som är tung narkoman och har mycket skumt folk på besök samt misshandlar sin flickvän. Polisen är där frekvent, det är väldigt dramatiskt och mina barn är inte trygga i huset. Detta nämndes inte alls i försäljningsprocessen och det är också möjligt att mäklaren inte fick info om detta av säljaren. ",1800538,"Erik Olsson Fastighetsförmedling Malmö",4115,"Ann-Sofia Jonasson",1712203
314004,"2018-02-26 12:46:58.85","2018-02-26 12:47:32.569",4,"Vi fick tydliga besked och när försäljningen drog ut på tiden blev vi lugnade. Snabb återkoppling efter och inför visningar. 
Vi är nöjda!",1800538,"Erik Olsson Fastighetsförmedling Malmö",4115,"Ann-Sofia Jonasson",1712191
314005,"2018-02-26 12:48:21.867","2018-02-26 12:48:32.9",5,"Mycket professionellt men samtidigt personligt bemötande. ",1800538,"Erik Olsson Fastighetsförmedling Malmö",4115,"Ann-Sofia Jonasson",1712193
314015,"2018-02-26 13:08:12.937","2018-02-26 13:08:32.67",5,"Duktig, professionell och naturlig. ",3673341,"Svenska Mäklarhuset Uppsala",4283,"Magnus Nilsson",1711544
313691,"2018-02-26 06:49:00.093","2018-02-26 13:41:33.167",4,"Mycket nöjd!
Josefine är engagerad och intresserad. Har många goda råd men lyssnar och anpassar sig också efter kund. 
Jag kan varmt rekommendera Josefine för att ta hand om din försäljning.",3549445,"Svenska Mäklarhuset Vällingby, Hässelby, Spånga",4711,"Josefin Nilsson",1706347
313133,"2018-02-23 15:09:02.318","2018-02-26 13:44:36.127",5,"Väldigt seriös, trovärdig och trevlig. Bra kille helt enkelt.",3802999,"HusmanHagberg Kungsbacka",4770,"Joachim Sköld",1664654
313074,"2018-02-23 12:21:40.176","2018-02-26 13:44:37.474",5,"Jag anser att Aria är en av de få mäklare som verkligen har koll på allt; från marknaden till bostadsföreningen. Han var realistisk och rådgivande vid värdering, hon verkade ha koll på potentiella frågor ifrån köpare samt att hon verkligen la ner extra tid och kraft för att jag verkligen skulle få det priset som jag efterfrågade. Vid själva signeringen så sköttes allt klanderfritt. 
Det var väldigt uppskattat för mig som säljare att anlita en mäklare, sen behövde jag inte tänka på något mer.",3549968,"HusmanHagberg Kista",3996,"Aria Karadaghi",1706419
314196,"2018-02-27 07:30:44.881","2018-02-27 07:31:25.264",5,"Kontakterna med Magnus har varit positiva från första till sista dagen. Med stor seriositet och engagemang har han uppenbart strävat efter att jag som kund skall bli nöjd, vilket jag också blivit.",3673341,"Svenska Mäklarhuset Uppsala",4283,"Magnus Nilsson",1711537
314044,"2018-02-26 14:26:26.808","2018-02-26 14:26:32.656",5,"Jag upplevde Magnus som väldigt tillmötesgående, avslappnad och kunnig i sitt arbete. Han har även gjort ett bra arbete i att göra båda parter nöjda under förhandlingsprocessen, vilket har uppskattas. ",3673341,"Svenska Mäklarhuset Uppsala",4283,"Magnus Nilsson",1711538
